player_name,season,do_or_die_points,team_name,player_id,match_played,position_id,position_name,high_5s,avg_raid_points,raid_points,successful_raids,successful_tackles,super_10s,super_raids,super_tackles,tackle_points,total_points,z_score_do_or_die_points,z_score_high_5s,z_score_avg_raid_points,z_score_raid_points,z_score_successful_raids,z_score_successful_tackles,z_score_super_10s,z_score_super_raids,z_score_super_tackles,z_score_tackle_points,z_score_total_points
Aashish Nagar,6,0.0,U.P. Yoddha,2482,3,6.0,"Defender, right corner",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.8373549847127643,-0.6595893425076481
Abhishek Singh,7,22.0,U Mumba,2028,13,8.0,Raider,0.0,5.85,76.0,66.0,1.0,3.0,1.0,0.0,0.08,77.0,3.7633962086095423,-0.44714607015407415,2.4920193538893556,2.459267695564349,2.701093083121572,-0.5632507546763028,2.045688993280834,0.4821462042974862,-0.7292021184632329,-0.7426735057353713,2.0877910593423903
Abolfazl Maghsodloumahali,7,1.0,Gujarat Fortunegiants,300,6,8.0,Raider,0.0,1.0,5.0,3.0,2.0,0.0,2.0,1.0,0.2,5.0,-0.361115610242114,-0.44714607015407415,-0.08804270010239672,-0.2703363744751877,-0.30076573158148545,-0.47132122735866794,-0.3118428343415906,1.4672881784837013,-0.050289801273326475,-0.6006512872692819,-0.514990373989225
Abozar Mohajermighani,7,0.0,Telugu Titans,489,14,9.0,Defender,4.0,0.2,1.0,0.0,25.0,0.0,0.0,2.0,1.93,28.0,-0.5575209349493357,3.2881293888125565,-0.513619946121655,-0.42411688546333065,-0.4437113894244882,1.6430579009469353,-0.3118428343415906,-0.5029957698887288,0.6286225159165799,1.446835695616842,0.3164536949917076
Adarsh T,7,0.0,Bengal Warriors,2470,8,3.0,"Defender, left corner",0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,0.38,3.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.3856717577162949,-0.3960628368101539,-0.379391700041033,-0.3118428343415906,-0.5029957698887288,1.3075348331064864,-0.3876179595701475,-0.5872898582484366
Adinath Sakharam Gavali,2,0.0,Bengaluru Bulls,201,1,5.0,"Defender, right and left cover",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,0.3461635025046484,-0.6595893425076481
Ajay,7,0.0,Bengaluru Bulls,2353,7,9.0,Defender,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.29,2.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.47132122735866794,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,-0.49413462341971465,-0.6234396003780424
Ajay Kumar,6,4.0,Gujarat Fortunegiants,389,13,8.0,Raider,0.0,2.67,32.0,23.0,1.0,2.0,1.0,0.0,0.0,33.0,0.22810036387955115,-0.44714607015407415,0.8003498009628046,0.7676820746947769,0.6522053207051994,-0.5632507546763028,1.259845050740026,0.4821462042974862,-0.7292021184632329,-0.8373549847127643,0.49720240563973644
Ajay Singh,4,0.0,Bengaluru Bulls,364,1,3.0,"Defender, left corner",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.5575209349493357,-0.44714607015407415,-0.6200142576264694,-0.4625620132103664,-0.4437113894244882,-0.5632507546763028,-0.3118428343415906,-0.5029957698887288,-0.7292021184632329,0.3461635025046484,-0.6595893425076481
Ajay Thakur,7,8.0,Tamil Thalaivas,26,13,8.0,Raider,0.0,4.46,58.0,47.0,1.0,1.0,2.0,0.0,0.05,58.0,1.013721662708438,-0.44714607015407415,1.7525788889308949,1.7672553961177058,1.7957705834492212,-0.5632507546763028,0.47400110819921776,1.4672881784837013,-0.7292021184632329,-0.7781790603518935,1.4009459588798805
